property_type,society,sector,price,price_per_sqft,bedroom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,study room,store room,pooja room,others,furnishing_type,luxury_score
flat,bestech park view residency,sector 2,0.98,6262.0,2,2,3,14.0,Moderately Old,1415.9523809523807,0,1,0,0,0,0,101
flat,ss the leaf,sector 85,1.78,7392.0,3,4,3+,6.0,New Property,2178.6666666666665,0,0,1,0,0,0,122
flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,3.0,Under Construction,1811.111111111111,0,0,0,0,0,0,25
flat,nbcc heights,sector 89,1.5,7059.0,3,3,3,8.0,Relatively New,1922.6190476190475,1,1,0,0,0,0,123
flat,satya the hermitage,sector 103,1.12,5625.0,3,4,3+,9.0,New Property,1734.0238095238094,1,0,0,0,0,0,49
flat,bestech altura,sector 79,1.9,9000.0,3,4,2,11.0,New Property,2388.8888888888887,1,0,0,0,0,0,49
flat,silverglades the melia,sohna road,0.78,5778.0,2,2,3,9.0,Under Construction,1221.4285714285713,0,1,0,0,0,0,81
flat,vatika emilia floors,sector 83,0.6,5714.0,2,2,2,1.0,Relatively New,990.0,0,0,0,0,0,2,185
house,ansal api esencia,sector 67,5.46,24170.0,4,5,3+,2.0,Relatively New,2259.0,0,1,1,1,0,2,112
flat,irwo westend towers,sector 47,0.65,12059.0,1,1,2,3.0,Old Property,598.8888888888889,0,0,0,0,0,0,56
flat,emaar palm gardens,sector 83,1.75,9211.0,3,3,3,6.0,Relatively New,1548.4349206349204,1,0,0,0,0,2,123
house,project mianwali colony,sector 12,2.0,14815.0,5,5,2,3.0,Old Property,1350.0,0,0,0,0,0,0,0
flat,shri banke bihari society,sector 56,1.37,9133.0,3,3,3+,2.0,Old Property,1450.0,0,0,0,0,1,0,192
flat,central park flower valley aqua front towers,sector 33,2.0,11179.0,3,3,3+,8.0,New Property,1618.6190476190475,0,0,0,0,0,0,40
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,4,3,5.0,Relatively New,1527.142857142857,1,0,0,0,1,2,49
flat,ireo skyon,sector 60,3.8,13571.0,4,5,3,15.0,Moderately Old,2791.0,1,0,0,0,0,2,163
flat,indiabulls enigma,sector 110,3.45,10147.0,4,4,3,9.0,Moderately Old,3076.1904761904757,1,0,0,0,0,2,134
flat,godrej oasis,sector 88a,1.45,8367.0,2,2,3+,9.0,Relatively New,133.05555555555554,0,1,0,0,0,1,103
flat,ireo the grand arch,sector 58,3.8,17560.0,3,4,1,19.0,Moderately Old,2164.0,1,0,0,0,0,2,185
flat,aipl zen residences,sector 70a,1.65,13074.0,2,2,3,23.0,New Property,1141.8095238095236,0,0,0,0,0,0,90
house,independent,sector 46,5.5,23061.0,8,8,3+,3.0,Moderately Old,2385.0,0,1,0,0,1,2,40
flat,essel tower,sector 28,2.2,12500.0,3,4,3+,3.0,Moderately Old,1955.5555555555554,1,0,0,0,0,1,0
house,sushant lok 1 builder floors,sector 43,2.45,7756.0,4,4,3+,3.0,Moderately Old,540.0,1,1,0,1,1,1,149
flat,city shri ram apartments 1,sector 110,0.22,3667.0,2,1,1,1.0,Relatively New,542.8571428571428,0,0,0,0,0,0,0
house,independent,sector 25,13.5,19286.0,9,9,0,1.0,Relatively New,7000.0,0,0,0,0,0,0,0
house,independent,sector 103,2.25,6367.0,3,5,3+,10.0,Relatively New,3534.0,0,0,0,0,0,0,0
flat,aipl the peaceful homes,sector 70a,2.3,10698.0,3,3,3,3.0,Relatively New,1945.238095238095,0,0,1,0,0,2,133
house,independent,sector 7,2.25,16892.0,5,3,0,2.0,Old Property,148.0,0,0,0,0,0,0,0
flat,central park flower valley,sector 33,1.79,11251.0,3,3,3,3.0,Old Property,1618.6190476190475,0,0,0,0,0,0,80
flat,ramsons kshitij,sector 95,0.32,4501.0,2,2,1,8.0,Relatively New,562.9555555555555,0,0,0,0,1,1,28
flat,sare crescent parc royal greens phase 1,sector 92,0.65,4511.0,3,3,3,1.0,Moderately Old,1303.2642857142857,0,0,0,0,0,0,100
flat,hsiidc sidco aravali,manesar,0.9,3648.0,4,4,3,7.0,Moderately Old,2232.047619047619,0,0,0,0,0,0,0
flat,hcbs sports ville,sohna road,0.38,5067.0,2,2,2,9.0,Relatively New,750.0,0,0,0,0,0,0,0
flat,signature andour heights,sector 71,0.59,8429.0,2,2,1,6.0,Moderately Old,639.0,0,0,0,0,0,0,67
flat,m3m capital,sector 113,1.83,13969.0,2,2,0,7.0,New Property,1310.0,0,0,0,0,0,0,68
flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960.0,3,3,3,9.0,Relatively New,1852.0,0,0,0,0,0,0,81
flat,m3m golfestate,sector 65,13.2,12000.0,4,4,3,13.0,Moderately Old,12222.222222222223,1,0,0,0,0,0,69
flat,hero homes,sector 104,1.9,11249.0,3,3,3,16.0,Under Construction,1365.1825396825398,0,0,0,1,0,2,112
flat,park view apartments,sector 15,1.6,11034.0,3,3,3+,2.0,Moderately Old,1611.111111111111,0,0,0,1,0,0,56
flat,smart world orchard,sector 61,1.47,12783.0,2,2,2,4.0,New Property,1277.7777777777778,0,1,0,1,0,0,62
house,sai kripa floors 5,sector 11,0.9,11250.0,2,5,3,3.0,Relatively New,800.0,0,0,0,0,0,0,0
flat,whiteland blissville,sector 76,1.92,11497.0,3,3,2,2.0,Under Construction,1672.0,0,0,0,0,0,0,52
flat,ss the leaf,sector 85,1.2,12371.0,2,2,2,4.0,Relatively New,1190.0,1,0,1,0,0,0,90
flat,godrej,sector 79,1.35,8970.0,3,3,2,7.0,Relatively New,1361.6666666666665,0,0,0,0,0,0,127
flat,sobha city,sector 108,2.9,14478.0,3,4,2,8.0,New Property,2003.0,0,0,0,0,0,0,118
flat,smart world orchard,sector 61,1.6,13913.0,2,2,2,4.0,Under Construction,1277.7777777777778,0,0,0,0,0,0,25
flat,signature global city,sector 37d,0.8,8421.0,2,2,2,2.0,Under Construction,859.5238095238094,0,0,0,0,0,0,42
flat,adani brahma samsara vilasa,sector 63,4.49,14254.0,4,4,3+,3.0,New Property,3150.0,0,0,0,0,0,2,114
house,independent,sector 53,4.65,17574.0,5,5,3+,1.0,Moderately Old,2646.0,0,0,0,0,0,2,0
house,madan puri,sector 7,0.75,12500.0,3,5,3,3.0,Moderately Old,600.0,0,0,0,0,0,0,0
flat,signature the roselia,sector 95,0.48,7164.0,2,2,2,6.0,Relatively New,744.4444444444445,0,0,0,0,0,0,16
flat,m3m merlin,sector 67,2.9,14167.0,3,3,3,0.0,Relatively New,2047.0,0,0,0,0,1,2,49
flat,dlf the ultima,sector 81,2.12,10081.0,3,3,3+,9.0,Relatively New,1650.0,1,1,0,1,1,1,49
flat,mittal surya vihar,sector 21,0.8,7080.0,2,2,2,6.0,Old Property,1255.5555555555554,0,0,0,0,0,0,0
flat,tulip ivory,sector 70,2.0,8333.0,4,5,3+,7.0,Moderately Old,2169.047619047619,1,0,0,0,0,2,192
flat,ashiana mulberry,sohna road,1.05,5412.0,2,2,3,1.0,New Property,1175.97,0,1,0,0,0,0,49
flat,tarc maceo,sector 91,0.96,5411.0,2,2,3+,8.0,Moderately Old,1270.2857142857142,0,0,0,0,0,0,94
flat,imperia the esfera,sector 37c,0.99,5500.0,3,3,1,10.0,New Property,1642.1428571428569,1,0,0,0,0,0,49
house,independent,sector 49,4.5,15625.0,8,8,3,3.0,Moderately Old,2880.0,1,1,1,1,0,1,169
flat,sare crescent parc,sector 92,0.7,5556.0,3,3,2,14.0,Under Construction,140.0,0,0,0,0,0,0,47
flat,vatika independent floors,sector 82,0.67,5826.0,2,2,3,2.0,Moderately Old,1150.0,0,0,0,0,0,0,62
flat,dlf new town heights,sector 86,1.54,5785.0,4,4,3+,21.0,Moderately Old,2138.8571428571427,1,1,0,1,0,0,89
house,independent,sector 38,3.5,20325.0,3,2,2,1.0,Moderately Old,1722.0,0,0,0,0,0,0,0
flat,tata primanti,sector 72,4.0,13769.0,4,5,2,7.0,Moderately Old,2628.333333333333,1,0,0,0,0,0,47
flat,microtek greenburg,sector 86,1.65,8707.0,3,4,3,8.0,Relatively New,1714.5238095238094,1,0,0,0,0,0,133
flat,sare crescent parc,sector 92,0.95,5013.0,4,5,3+,13.0,Relatively New,1895.0,0,0,0,0,0,0,0
house,independent,sector 24,1.45,2984.0,3,3,1,2.0,Old Property,540.0,0,0,0,0,0,0,9
flat,mapsko mount ville,sector 79,1.5,8264.0,3,4,3+,11.0,Relatively New,1416.2547619047618,1,0,0,0,0,2,162
flat,sobha city,sector 108,3.75,14940.0,3,3,2,16.0,New Property,2119.8571428571427,1,0,0,0,0,0,86
flat,experion the heartsong,sector 108,2.0,7197.0,4,4,3+,10.0,Relatively New,2500.0,1,0,0,1,0,2,192
flat,smart world gems,sector 89,1.71,12000.0,3,2,0,3.0,New Property,1423.0,0,0,0,0,0,0,38
flat,pioneer araya,sector 62,9.14,19488.0,4,6,3,16.0,Relatively New,3931.6666666666665,1,1,1,0,0,2,164
house,independent,sector 50,10.55,32562.0,5,5,3,2.0,Moderately Old,3240.0,1,1,0,0,0,0,51
flat,tulip violet,sector 69,1.2,8889.0,2,3,1,0.0,Relatively New,1221.4285714285713,0,0,0,0,0,0,168
flat,umang winter hills,sector 77,0.8,5961.0,2,2,2,10.0,Relatively New,1162.6507936507937,0,0,0,0,0,2,49
flat,antriksh heights,sector 84,0.85,4928.0,3,3,3+,10.0,Relatively New,1560.7142857142856,0,1,0,0,0,0,61
flat,new sathi apartments,sector 54,1.59,7067.0,3,3,3+,3.0,Moderately Old,2250.0,0,1,0,0,0,2,136
house,malibu towne,sector 47,8.81,27191.0,8,6,3+,3.0,Moderately Old,3240.0,1,1,0,0,1,2,35
flat,ss the leaf,sector 85,2.2,6934.0,4,5,3+,4.0,Relatively New,2544.190476190476,0,0,0,0,0,0,124
flat,ats marigold,sector 89,1.5,8571.0,3,3,3,2.0,New Property,1944.4444444444443,0,0,0,0,1,0,49
flat,experion windchants,sector 112,3.65,11428.0,3,5,2,3.0,Relatively New,2800.0,1,0,0,0,0,0,81
flat,railway officers rpf society,sector 9a,1.25,6921.0,4,3,3,1.0,Old Property,2006.6666666666665,1,0,0,0,0,2,21
flat,shree vardhman victoria,sector 70,1.67,14384.0,3,5,3,5.0,Moderately Old,1527.142857142857,1,0,0,0,0,0,117
flat,tulip violet,sector 69,1.68,8350.0,4,4,2,1.0,Relatively New,1818.5714285714284,0,0,0,1,0,0,111
flat,ild greens,sector 37c,0.9,5614.0,3,3,3,0.0,Under Construction,1500.0,0,0,0,0,0,0,75
flat,"new colony, gurgaon",sector 7,0.8,8097.0,3,2,1,4.0,Relatively New,1100.0,0,0,0,0,0,2,69
flat,m3m woodshire,sector 107,1.3,8922.0,3,3,3+,4.0,Relatively New,1554.0,0,0,0,1,0,2,192
flat,tulip ivory,sector 70,2.0,8333.0,4,5,3+,2.0,Relatively New,2171.428571428571,1,0,0,0,0,2,49
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1955.5555555555554,0,0,0,0,0,0,0
flat,tulip violet,sector 69,1.7,8458.0,4,4,2,1.0,Relatively New,1818.5714285714284,0,0,0,0,0,0,144
house,independent,sector 26,7.0,39260.0,5,5,2,3.0,Relatively New,1783.0,1,0,0,0,0,0,9
flat,godrej air,sector 85,1.4,10000.0,2,2,3,23.0,Relatively New,1400.0,0,0,0,0,0,0,53
flat,shapoorji pallonji joyville gurugram,sector 102,1.8,10638.0,3,3,3,1.0,Relatively New,1530.8571428571427,0,0,0,0,0,0,150
flat,ramprastha primera,sector 37d,1.02,6000.0,3,2,3,22.0,Under Construction,1538.0952380952378,0,0,0,0,0,0,52
house,independent,sector 11,0.44,4251.0,3,2,1,1.0,Relatively New,127.77777777777777,0,0,0,1,1,0,63
flat,emaar palm gardens,sector 83,1.75,9211.0,3,3,3,6.0,Relatively New,1600.0,1,0,0,0,0,2,192
flat,mvn athens,sohna road,0.26,5394.0,2,2,1,5.0,Relatively New,535.2050277777778,0,0,0,0,0,0,95
flat,avl 36 gurgaon,sector 36a,0.75,7500.0,2,2,2,5.0,Relatively New,856.2698412698412,0,0,0,0,0,0,26
house,independent,sector 14,5.0,22222.0,3,3,3,1.0,Moderately Old,2250.0,0,0,0,0,0,0,25
flat,supertech basera,sector 79,0.36,7643.0,2,2,1,4.0,New Property,546.0,0,0,0,0,0,0,69
flat,pareena coban residences,sector 99a,1.56,7812.0,3,5,3,4.0,New Property,1806.8095238095236,1,0,0,0,1,0,49
flat,mapsko mount ville,sector 79,1.2,13841.0,3,3,3,18.0,Relatively New,1164.895238095238,0,1,0,1,0,2,178
flat,signature global city,sector 37d,1.1,8800.0,3,3,3,1.0,Under Construction,1388.888888888889,0,0,0,0,0,0,25
flat,pyramid urban,sector 67a,0.7,11844.0,2,2,1,14.0,New Property,656.6666666666666,0,0,0,0,0,0,44
flat,tulip leaf,sector 69,2.07,11424.0,3,3,3,16.0,Relatively New,1639.4285714285713,0,0,0,0,0,0,49
flat,krrish florence estate,sector 70,1.65,7765.0,3,4,3+,27.0,New Property,1922.6190476190475,1,1,0,0,0,0,90
flat,ats triumph,sector 104,1.95,8515.0,3,3,3+,3.0,New Property,2544.4444444444443,1,0,0,0,0,0,78
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,5.0,Relatively New,1466.0,0,0,0,0,0,0,44
flat,ramprastha city,dwarka expressway,1.3,9286.0,3,3,2,3.0,Under Construction,1266.6666666666665,0,0,0,0,0,0,0
flat,dlf the ultima,sector 81,2.4,11257.0,3,3,2,10.0,Relatively New,1800.0,1,0,0,0,0,1,192
flat,indiabulls centrum park,sector 103,1.65,8250.0,3,3,3+,15.0,Relatively New,1682.5396825396824,0,1,0,0,0,0,47
flat,green court,sector 90,0.5,8333.0,2,2,1,8.0,New Property,650.0,0,0,0,0,0,0,42
flat,dlf the primus,sector 82a,2.2,10516.0,3,3,3+,16.0,Relatively New,1892.7619047619046,1,0,0,0,0,1,192
house,independent,sector 39,0.34,7556.0,1,1,1,1.0,Relatively New,450.0,0,0,0,0,0,0,0
flat,mvn athens,sohna road,0.25,5198.0,2,2,0,0.0,Relatively New,481.0,0,0,0,0,0,0,37
flat,m3m sierra 68,sector 68,1.1,8987.0,2,2,3,1.0,Relatively New,1150.0,0,0,0,0,0,2,145
house,independent,sector 23,4.0,16006.0,3,3,2,2.0,Moderately Old,2430.0,1,0,0,0,0,2,124
house,independent,sohna road,0.07,2527.0,1,1,0,1.0,Relatively New,33.0,0,0,0,0,0,0,0
flat,sare green parc phase 3,sector 92,0.95,4857.0,4,3,3,4.0,Moderately Old,1769.7142857142856,0,0,0,0,0,0,76
house,sare crescent parc royal greens phase 1,sector 92,0.85,4877.0,4,4,3,4.0,Relatively New,1743.0,0,0,0,0,0,0,0
house,independent,sector 23,5.65,17706.0,7,7,3+,2.0,Moderately Old,5000.0,1,0,0,1,0,0,68
flat,m3m heights,sector 65,2.44,13297.0,3,3,2,7.0,Under Construction,1653.9047619047617,0,0,0,0,0,0,40
flat,smart world orchard,sector 61,2.0,12912.0,3,3,2,3.0,New Property,1721.111111111111,0,0,0,0,1,0,78
flat,emaar mgf emerald floors premier,sector 65,2.65,16061.0,3,3,3,5.0,Relatively New,1650.0,1,1,0,0,0,0,37
flat,m3m woodshire,sector 107,0.82,6003.0,2,2,3+,7.0,Relatively New,1235.9047619047617,0,0,0,0,0,0,120
house,independent,sector 55,1.64,10123.0,3,3,2,4.0,New Property,1620.0,1,1,0,0,0,2,71
flat,tulip violet,sector 69,1.52,9632.0,3,3,2,4.0,Relatively New,1427.7142857142856,0,0,0,1,0,2,174
flat,tulip violet,sector 69,3.1,9823.0,4,6,3+,14.0,Relatively New,2816.6031746031745,1,0,0,1,0,0,192
house,independent,sector 43,5.25,27132.0,4,4,2,2.0,Old Property,1935.0,1,1,0,0,0,2,80
flat,orchid petals,sector 49,4.52,10984.0,5,5,3+,14.0,Moderately Old,3723.0952380952376,1,1,0,1,0,0,49
flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,915.0,0,0,0,0,0,0,0
flat,vatika gurgaon,sector 83,1.25,7812.0,4,4,3,12.0,Moderately Old,1970.079365079365,1,0,0,0,0,0,112
house,"nirmal enclave, maruti kunj road",sector 11,0.24,5333.0,2,2,0,2.0,Relatively New,450.0,0,0,0,0,0,0,0
flat,emaar mgf the palm drive,sector 66,3.45,15682.0,3,4,3,6.0,Relatively New,2000.0,1,0,0,0,0,2,104
house,independent,sector 24,11.0,28902.0,8,11,3+,3.0,Old Property,5000.0,1,1,0,1,1,2,39
flat,tulip violet,sector 69,1.51,9569.0,3,3,2,0.0,Relatively New,1324.968253968254,0,0,0,1,0,1,174
flat,ambience creacions,sector 22,4.3,13916.0,3,4,3+,6.0,Relatively New,2600.0,1,0,0,0,1,1,138
flat,ambience creacions,sector 22,4.1,28101.0,3,3,3+,2.0,New Property,2068.626984126984,0,0,0,0,0,1,137
flat,ats triumph,sector 104,2.0,8734.0,3,4,3+,4.0,Relatively New,2071.904761904762,1,0,0,0,0,0,69
house,independent,sector 8,1.6,3186.0,4,6,1,3.0,Relatively New,558.0,0,0,0,0,0,0,0
flat,smartworld one dxp,sector 113,2.0,11074.0,3,3,3,12.0,New Property,1806.0,0,0,0,0,0,0,61
flat,spire woods now ananda by alpha corp,sector 103,1.25,6902.0,3,4,3,11.0,Under Construction,2012.2222222222222,1,1,0,0,0,0,114
flat,dlf regal gardens,sector 90,1.7,7222.0,4,4,3+,15.0,Moderately Old,2004.0476190476188,1,0,0,0,0,0,47
flat,sidhartha ncr greens,sector 95,0.56,5657.0,2,2,3,13.0,New Property,895.7142857142857,0,0,0,0,0,0,8
flat,shree vardhman victoria,sector 70,1.78,9128.0,3,3,3+,7.0,Relatively New,1764.2857142857142,1,0,0,0,1,0,49
flat,signature global city 63a,sector 63a,1.4,11336.0,2,2,2,3.0,Under Construction,1372.2222222222222,0,0,0,0,1,0,0
flat,maxworth city residences,sector 10a,0.9,7081.0,2,2,3,9.0,New Property,1085.7142857142856,0,0,0,0,1,0,61
flat,ambience caitriona,sector 24,14.0,22222.0,4,5,3,3.0,Old Property,6300.0,0,0,0,0,0,0,0
flat,dlf the primus,sector 82a,1.87,10395.0,3,3,3,31.0,Moderately Old,1668.2777777777778,0,0,0,1,0,0,47
flat,eldeco accolade,sohna road,0.78,6171.0,2,2,2,3.0,Relatively New,1143.6190476190475,0,0,0,0,0,0,81
flat,experion windchants,sector 112,3.75,13383.0,3,3,2,21.0,Relatively New,2225.56,1,0,0,0,0,2,177
flat,smart world orchard,sector 61,2.41,14785.0,3,3,3,2.0,New Property,1630.0,0,0,0,0,0,0,78
house,independent,sector 26,17.0,37627.0,5,5,3+,2.0,Relatively New,4518.0,1,1,1,1,0,2,133
flat,emaar palm gardens,sector 83,1.75,9211.0,3,3,3,6.0,Relatively New,1600.0,1,0,0,0,0,2,159
flat,signature global solera,sector 107,0.38,6333.0,2,2,2,3.0,Relatively New,627.3809523809523,0,0,0,0,0,1,23
flat,tulip white,sector 69,0.9,6787.0,3,2,3,6.0,Relatively New,1473.3333333333333,0,0,0,1,0,0,139
house,bptp visionnaire,sector 70a,5.35,8917.0,4,4,3+,3.0,Relatively New,6000.0,1,1,1,1,0,2,178
house,independent,sector 13,0.62,3588.0,6,6,0,3.0,Old Property,192.0,0,0,0,0,0,0,0
house,independent,sector 45,7.35,29697.0,6,4,3+,3.0,Old Property,2475.0,1,1,1,1,0,2,70
flat,my home,sector 110,0.28,3167.0,2,1,1,2.0,Relatively New,1000.0,0,0,0,0,1,0,15
flat,ireo victory valley,sector 67,2.99,11832.0,3,3,3,4.0,Relatively New,2200.0,1,0,0,0,0,2,37
flat,hcbs sports ville,sohna road,0.29,5588.0,2,2,1,4.0,Relatively New,576.6666666666666,0,0,0,0,0,0,44
flat,raheja vedaanta,sector 108,0.65,4762.0,2,2,2,5.0,Relatively New,1234.9999999999998,0,0,0,1,0,2,192
flat,dlf the ultima,sector 81,2.45,11492.0,3,3,2,9.0,Relatively New,1800.0,1,0,0,0,0,2,192
flat,ansal api sushant estate,sector 52,0.29,11600.0,1,1,0,0.0,Moderately Old,277.77777777777777,0,0,0,0,0,2,49
flat,indiabulls centrum park,sector 103,1.9,5682.0,3,4,3+,10.0,Relatively New,3715.5555555555557,1,1,0,1,1,2,49
flat,puri diplomatic greens,sector 111,2.65,13590.0,3,4,2,7.0,Relatively New,2085.3571428571427,1,0,0,0,0,2,177
house,unitech espace,sector 50,9.8,30247.0,4,4,3,2.0,Moderately Old,3240.0,1,0,0,0,0,0,22
flat,ireo the corridors,sector 67a,1.4,9434.0,2,2,2,8.0,Relatively New,1149.111111111111,0,1,0,0,1,0,90
